0,1,2
마늘,47794,garlic
소금,41562,salt
간장,38707,soy_sauce
양파,36023,onion
설탕,34668,sugar
대파,32231,-
물,27692,glass_of_water
후추,26803,pepper
계란,26444,fried_egg
참기름,26125,oil
고춧가루,24716,spices
깨,22815,sesame
당근,14783,carrot
식용유,13365,oil
청양고추,12906,green_chili_pepper
고추장,12615,-
맛술,11753,matsul
고추,11643,red_pepper
식초,10282,balsamic_vinegar
올리고당,10093,oligo
버터,9393,butter
밥,8627,rice
매실청,8346,-
감자,8251,potato
우유,7318,-
돼지고기,6999,pig
파프리카,6638,bell_pepper
생강,6620,-
무,6226,-
김치,6165,-
올리브유,5786,-
오이,5763,-
된장,5605,-
두부,5593,-
체다치즈,5318,-
마요네즈,5292,-
들기름,5001,-
소고기,4841,cow
다시마,4816,-
굴소스,4764,-
멸치육수,4479,-
닭고기,4467,turkey
쪽파,4427,-
밀가루,4422,-
청주,4399,-
멸치,4241,-
물엿,4167,-
꿀,4070,-
햄,4000,-
부추,3932,-
양배추,3851,-
애호박,3770,-
깻잎,3664,-
표고버섯,3574,-
새우,3536,-
식빵,3521,-
케찹,3387,-
김,3261,-
박력분,3260,-
전분,3123,-
어묵,3122,-
콩나물,3119,-
모짜렐라치즈,3043,-
떡,3027,-
오징어,2766,-
새우젓,2765,-
레몬즙,2715,-
액젓,2712,-
생크림,2588,-
베이컨,2556,-
새송이버섯,2492,-
토마토,2491,tomato
참깨,2484,-
부침가루,2450,-
멸치액젓,2448,-
피망,2289,-
파슬리가루,2239,-
참치,2238,-
베이킹파우더,2237,-
사과,2168,-
팽이버섯,2032,-
소세지,1925,-
스파게티,1918,-
새싹채소,1907,-
카레,1869,-
호박,1854,-
튀김가루,1806,-
머스타드,1801,-
옥수수,1748,-
당면,1725,-
버섯,1719,-
시금치,1651,-
고구마,1635,-
브로콜리,1628,-
느타리버섯,1625,-
가지,1610,-
포도씨유,1570,-
빵가루,1561,-
소면,1553,-
방울토마토,1494,-
아몬드,1426,-
